alternative_path,candidate_count
Pursue further education,46
Continue working with the same organisation,46
I am not sure yet,23
I plan to pursue other personal activities,18
Work with another organisation in the same industry,11
Explore other opportunities within the education sector,7
Others,4
Work with another organisation in the same industry; I am not sure yet,1
Pursue further education; I plan to pursue other personal activities,1
Pursue further education; Explore other opportunities within the education sector,1
Continue working with the same organisation; I plan to pursue other personal activities,1
Continue working with the same organisation; Explore other opportunities within the education sector,1
