name_of_tfi_recruiter,candidate_id_number,region,initial_joining_likelihood,primary_decline_reason,instead_of_the_fellowship_ill_be_doing,how_did_chatting_with_a_recruiter_over_phone_call_impact_your_motivation_to_join_the_fellowship,how_did_exchanging_emails_with_the_recruitment_team_impact_your_motivation_to_join_the_fellowship,how_did_attending_any_of_the_recruitment_events_impact_your_motivation_to_join_the_fellowship,how_did_meeting_during_the_group_interview_stage_impact_your_motivation_to_join_the_fellowship,how_did_attending_onlinewebinar_recruitment_events_impact_your_motivation_to_join_the_fellowship
Harry,1001001,India - East,5.0,,,Increased your motivation to join,,,Increased your motivation to join,
Harry,1001002,India - East,5.0,Others,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Harry,1001003,India - East,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join
Harry,1001004,India - East,5.0,Medical concerns (for self or family),Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Harry,1001005,India - East,4.0,Lack of support from family; Relocation concerns,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Harry,1001006,India - East,2.0,Inability to leave current job due to professional commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Harry,1001007,India - East,5.0,Lack of support from family; Relocation concerns,Pursue further education,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Harry,1001008,India - East,4.0,Concerned about expected stipend; Lack of support from family,Pursue further education,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join,Did not have an impact on your motivation to join
Harry,1001009,India - East,3.0,Others,Pursue further education,Increased your motivation to join,,,Increased your motivation to join,
Ron,1001010,India - East,5.0,Concerned about expected stipend; Lack of support from family; Relocation concerns,Work with another organisation in the same industry,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Ron,1001011,India - East,5.0,Inability to leave current job due to professional commitments; Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Ron,1001012,India - East,5.0,Lack of support from family; Medical concerns (for self or family),Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Ron,1001013,India - East,4.0,Inability to leave current job due to professional commitments; Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Ron,1001014,India - East,5.0,Concerned about financial commitments; Lack of support from family,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Did not have an impact on your motivation to join
Ron,1001015,India - East,3.0,Inability to leave current job due to professional commitments,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join,
Ron,1001016,India - East,4.0,Concerned about expected stipend,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Ron,1001017,India - East,4.0,Lack of support from family,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join,
Ron,1001018,India - East,5.0,Medical concerns (for self or family),I am not sure yet,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Ron,1001019,India - East,5.0,Job opportunity in another organization,I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Ron,1001020,India - East,5.0,Medical concerns (for self or family); Relocation concerns,Explore other opportunities within the education sector,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
