primary_decline_reason,candidate_count,wrapped_reason
Availability of alternate opportunity to pursue higher studies,28,"Availability of alternate opportunity to
pursue higher studies"
Lack of support from family,12,Lack of support from family
Concerned about financial commitments,12,Concerned about financial commitments
Medical concerns (for self or family),10,Medical concerns (for self or family)
Lack of support from family; Medical concerns (for self or family),8,"Lack of support from family; Medical
concerns (for self or family)"
Job opportunity in another organization,8,Job opportunity in another organization
Inability to leave current job due to professional commitments; Concerned about financial commitments,7,"Inability to leave current job due to
professional commitments; Concerned
about financial commitments"
Inability to join on Institute start date,7,"Inability to join on Institute start
date"
Relocation concerns,6,Relocation concerns
Inability to leave current job due to professional commitments,6,"Inability to leave current job due to
professional commitments"
Others,5,Others
Medical concerns (for self or family); Relocation concerns,5,"Medical concerns (for self or family);
Relocation concerns"
Lack of support from family; Relocation concerns,5,"Lack of support from family; Relocation
concerns"
Concerned about financial commitments; Concerned about expected stipend,3,"Concerned about financial commitments;
Concerned about expected stipend"
Concerned about expected stipend,3,Concerned about expected stipend
Commitments due to recent/upcoming marriage,3,"Commitments due to recent/upcoming
marriage"
Availability of alternate opportunity to pursue higher studies; Lack of support from family,3,"Availability of alternate opportunity to
pursue higher studies; Lack of support
from family"
Relocation concerns; Others,2,Relocation concerns; Others
Lack of support from family; Medical concerns (for self or family); Relocation concerns,2,"Lack of support from family; Medical
concerns (for self or family);
Relocation concerns"
Availability of alternate opportunity to pursue higher studies; Different expectations of the Fellowship program,2,"Availability of alternate opportunity to
pursue higher studies; Different
expectations of the Fellowship program"
,2,None
Uncertainty about possessing skills required to participate in the Fellowship program,1,"Uncertainty about possessing skills
required to participate in the
Fellowship program"
Uncertainty about opportunities Post-Fellowship,1,"Uncertainty about opportunities Post-
Fellowship"
Lack of support from family; Others,1,Lack of support from family; Others
Job opportunity in current organization,1,Job opportunity in current organization
Job opportunity in another organization; Inability to join on Institute start date,1,"Job opportunity in another organization;
Inability to join on Institute start
date"
Job opportunity in another organization; Concerned about financial commitments; Relocation concerns; Uncertainty about opportunities Post-Fellowship,1,"Job opportunity in another organization;
Concerned about financial commitments;
Relocation concerns; Uncertainty about
opportunities Post-Fellowship"
Inability to leave current job due to professional commitments; Relocation concerns,1,"Inability to leave current job due to
professional commitments; Relocation
concerns"
Inability to leave current job due to professional commitments; Concerned about financial commitments; Concerned about expected stipend; Relocation concerns,1,"Inability to leave current job due to
professional commitments; Concerned
about financial commitments; Concerned
about expected stipend; Relocation
concerns"
Different expectations of the Fellowship program,1,"Different expectations of the Fellowship
program"
Concerned about financial commitments; Relocation concerns,1,"Concerned about financial commitments;
Relocation concerns"
Concerned about financial commitments; Medical concerns (for self or family),1,"Concerned about financial commitments;
Medical concerns (for self or family)"
Concerned about financial commitments; Lack of support from family,1,"Concerned about financial commitments;
Lack of support from family"
Concerned about financial commitments; Different expectations of the Fellowship program,1,"Concerned about financial commitments;
Different expectations of the Fellowship
program"
Concerned about financial commitments; Concerned about expected stipend; Relocation concerns,1,"Concerned about financial commitments;
Concerned about expected stipend;
Relocation concerns"
Concerned about financial commitments; Concerned about expected stipend; Lack of support from family,1,"Concerned about financial commitments;
Concerned about expected stipend; Lack
of support from family"
Concerned about expected stipend; Others,1,Concerned about expected stipend; Others
Concerned about expected stipend; Lack of support from family; Relocation concerns,1,"Concerned about expected stipend; Lack
of support from family; Relocation
concerns"
Concerned about expected stipend; Lack of support from family; Medical concerns (for self or family),1,"Concerned about expected stipend; Lack
of support from family; Medical concerns
(for self or family)"
Concerned about expected stipend; Lack of support from family,1,"Concerned about expected stipend; Lack
of support from family"
Commitments due to recent/upcoming marriage; Uncertainty about possessing skills required to participate in the Fellowship program,1,"Commitments due to recent/upcoming
marriage; Uncertainty about possessing
skills required to participate in the
Fellowship program"
Commitments due to recent/upcoming marriage; Medical concerns (for self or family),1,"Commitments due to recent/upcoming
marriage; Medical concerns (for self or
family)"
Availability of alternate opportunity to pursue higher studies; Relocation concerns,1,"Availability of alternate opportunity to
pursue higher studies; Relocation
concerns"
Availability of alternate opportunity to pursue higher studies; Medical concerns (for self or family),1,"Availability of alternate opportunity to
pursue higher studies; Medical concerns
(for self or family)"
Availability of alternate opportunity to pursue higher studies; Lack of support from family; Medical concerns (for self or family),1,"Availability of alternate opportunity to
pursue higher studies; Lack of support
from family; Medical concerns (for self
or family)"
