primary_decline_reason,avg_likelihood,candidate_count
Concerned about financial commitments,4.818181818181818,12
Job opportunity in another organization,4.75,8
Concerned about financial commitments; Concerned about expected stipend,4.666666666666667,3
Commitments due to recent/upcoming marriage,4.666666666666667,3
Availability of alternate opportunity to pursue higher studies; Lack of support from family,4.666666666666667,3
Medical concerns (for self or family); Relocation concerns,4.6,5
Lack of support from family; Medical concerns (for self or family),4.5,8
Medical concerns (for self or family),4.4,10
Lack of support from family; Relocation concerns,4.4,5
Lack of support from family,4.333333333333333,12
Availability of alternate opportunity to pursue higher studies,4.071428571428571,28
Relocation concerns,4.0,6
Inability to leave current job due to professional commitments; Concerned about financial commitments,3.7142857142857144,7
Inability to join on Institute start date,3.7142857142857144,7
Others,3.6,5
Concerned about expected stipend,3.3333333333333335,3
Inability to leave current job due to professional commitments,3.1666666666666665,6
