candidate_id_number,name_of_tfi_recruiter,region,initial_likelihood_of_joining_the_fellowship_scale_of_15_with_5_being_extremely_high_likelihood_at_time_of_receiving_the_offer,factor_that_led_to_declining_the_offer,instead_of_the_fellowship_ill_be_doing,how_did_chatting_with_a_recruiter_over_phone_call_impact_your_motivation_to_join_the_fellowship,how_did_exchanging_emails_with_the_recruitment_team_impact_your_motivation_to_join_the_fellowship,how_did_attending_any_of_the_recruitment_events_impact_your_motivation_to_join_the_fellowship,how_did_meeting_during_the_group_interview_stage_impact_your_motivation_to_join_the_fellowship
1001001,Harry,India - East,5.0,,,Increased your motivation to join,,,Increased your motivation to join
1001002,Harry,India - East,5.0,Others,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001003,Harry,India - East,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
1001004,Harry,India - East,5.0,Medical concerns (for self or family),Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join
1001005,Harry,India - East,4.0,Lack of support from family; Relocation concerns,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001006,Harry,India - East,2.0,Inability to leave current job due to professional commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001007,Harry,India - East,5.0,Lack of support from family; Relocation concerns,Pursue further education,Increased your motivation to join,,,Increased your motivation to join
1001008,Harry,India - East,4.0,Concerned about expected stipend; Lack of support from family,Pursue further education,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
1001009,Harry,India - East,3.0,Others,Pursue further education,Increased your motivation to join,,,Increased your motivation to join
1001010,Ron,India - East,5.0,Concerned about expected stipend; Lack of support from family; Relocation concerns,Work with another organisation in the same industry,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001011,Ron,India - East,5.0,Inability to leave current job due to professional commitments; Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001012,Ron,India - East,5.0,Lack of support from family; Medical concerns (for self or family),Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001013,Ron,India - East,4.0,Inability to leave current job due to professional commitments; Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001014,Ron,India - East,5.0,Concerned about financial commitments; Lack of support from family,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001015,Ron,India - East,3.0,Inability to leave current job due to professional commitments,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join
1001016,Ron,India - East,4.0,Concerned about expected stipend,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001017,Ron,India - East,4.0,Lack of support from family,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join
1001018,Ron,India - East,5.0,Medical concerns (for self or family),I am not sure yet,Increased your motivation to join,,,Increased your motivation to join
1001019,Ron,India - East,5.0,Job opportunity in another organization,I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001020,Ron,India - East,5.0,Medical concerns (for self or family); Relocation concerns,Explore other opportunities within the education sector,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001021,Ron,India - East,3.0,Relocation concerns,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001022,Ron,India - East,5.0,Availability of alternate opportunity to pursue higher studies; Lack of support from family; Medical concerns (for self or family),Pursue further education,Increased your motivation to join,,,Increased your motivation to join
1001023,Hermione,India - North,3.0,Medical concerns (for self or family); Relocation concerns,I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001024,Hermione,India - North,4.0,Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join
1001025,Hermione,India - North,5.0,Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001026,Hermione,India - North,5.0,Relocation concerns,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001027,Hermione,India - North,2.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,,Increased your motivation to join
1001028,Hermione,India - North,5.0,Inability to leave current job due to professional commitments; Concerned about financial commitments; Concerned about expected stipend; Relocation concerns,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001029,Hermione,India - North,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001030,Hermione,India - North,5.0,Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001031,Hermione,India - North,4.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001032,Hermione,India - North,5.0,Job opportunity in another organization,Others,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001033,Hagrid,India - North,5.0,Lack of support from family; Medical concerns (for self or family),Pursue further education; I plan to pursue other personal activities,Did not have an impact on your motivation to join,,,Increased your motivation to join
1001034,Hagrid,India - North,3.0,Concerned about expected stipend,Others,Increased your motivation to join,Did not have an impact on your motivation to join,,Increased your motivation to join
1001035,Hagrid,India - North,4.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,,Increased your motivation to join
1001036,Hagrid,India - North,4.0,Inability to join on Institute start date,Pursue further education,Increased your motivation to join,,,Increased your motivation to join
1001037,Hagrid,India - North,4.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Did not have an impact on your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001038,Hagrid,India - North,3.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001039,Hagrid,India - North,4.0,Different expectations of the Fellowship program,Pursue further education,Increased your motivation to join,,,Increased your motivation to join
